Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Field""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:50,2022-06-27 19:22:50,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Pcs""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:50,2022-06-27 19:22:51,0.696s,PASSED
"price = ""9880""",Chrome 103.0.5060.53,,,2022-06-27 19:22:51,2022-06-27 19:22:51,0.002s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price)",Chrome 103.0.5060.53,,,2022-06-27 19:22:51,2022-06-27 19:22:52,1.385s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Tanggal Kirim""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:52,2022-06-27 19:22:53,0.689s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tanggal 30""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:53,2022-06-27 19:22:54,0.674s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:54,2022-06-27 19:22:55,0.890s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Edit Sales Order Line 2""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:55,2022-06-27 19:22:56,1.160s,PASSED
"price2 = ""9800""",Chrome 103.0.5060.53,,,2022-06-27 19:22:56,2022-06-27 19:22:56,0.000s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price2)",Chrome 103.0.5060.53,,,2022-06-27 19:22:56,2022-06-27 19:22:57,1.325s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:57,2022-06-27 19:22:58,0.566s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Edit Sales Order Line 3""))",Chrome 103.0.5060.53,,,2022-06-27 19:22:58,2022-06-27 19:22:59,1.149s,PASSED
"price3 = ""10800""",Chrome 103.0.5060.53,,,2022-06-27 19:22:59,2022-06-27 19:22:59,0.000s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price3)",Chrome 103.0.5060.53,,,2022-06-27 19:22:59,2022-06-27 19:23:00,1.389s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:00,2022-06-27 19:23:01,0.608s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:01,2022-06-27 19:23:02,0.984s,PASSED
,,,,,,,
Test Cases/Demo 28 Juni 2022/Release Sales Order Box Layer,Chrome 103.0.5060.53,,,2022-06-27 19:23:02,2022-06-27 19:23:58,56.389s,PASSED
