Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo 28 Juni 2022,Chrome 103.0.5060.66,,,2022-06-28 09:07:26,2022-06-28 09:07:41,15.697s,FAILED
,,,,,,,
Test Cases/Demo 28 Juni 2022/2A_ Verify Calculated Values in Work Order (box partisi1 partisi2),Chrome 103.0.5060.66,,,2022-06-28 09:07:38,2022-06-28 09:07:41,3.359s,FAILED
"openBrowser("""")",Chrome 103.0.5060.66,,,2022-06-28 09:07:38,2022-06-28 09:07:40,1.993s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.66,,,2022-06-28 09:07:40,2022-06-28 09:07:41,1.026s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.66,,,2022-06-28 09:07:41,2022-06-28 09:07:41,0.300s,FAILED
